#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.239187512	-0.815614517	0.52684181	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.664810785	0.621589329	-0.414310665	0_1	 + 1	PD[];
-0.454729076	-0.857630599	-0.240189974	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.861835587	0.501159031	-0.0779682337	0_1	 + 1	PD[];
-0.560134008	-0.0805888269	0.824472761	0_1	 + 1	PD[];
0.323432302	-0.310949183	0.893701377	0_1	 + 1	PD[];
-0.187312293	0.832583543	0.521266486	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.342687777	-0.309413987	-0.887033298	0_1	 + 1	PD[];
-0.608408614	-0.740404391	-0.285727659	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.582035773	0.724741842	0.368759571	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.292427761	-0.861533138	-0.415026091	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.768218873	0.0201032745	0.639871566	0_1	 + 1	PD[];
-0.645778391	0.112501927	0.755191092	0_1	 + 1	PD[];
0.267221775	-0.827931838	-0.493073416	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.247998563	-0.738156263	-0.627393054	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.368540921	0.139073652	0.919149666	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.772799566	0.614724349	-0.157780879	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.68709234	0.5400087	-0.486101554	0_1	 + 1	PD[];
-0.691386613	0.437046285	-0.57530435	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.756487135	-0.6236825	0.196843473	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.244885623	-0.0436355049	-0.968569551	0_1	 + 1	PD[];
0.273880193	0.071980027	0.959066481	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.383321953	-0.802169134	0.457808868	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.891672816	-0.14946371	0.42729403	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.695414966	-0.102909015	0.711201631	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0529940145	-0.937975596	0.342627225	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.867632358	0.0439328734	0.49526154	0_1	 + 1	PD[];
-0.193498449	0.647883228	0.736753468	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.372598108	0.790217867	-0.486545344	0_1	 + 1	PD[];
-0.140198081	0.453227648	-0.880300629	0_1	 + 1	PD[];
-0.896041178	-0.321606062	-0.306071477	0_1	 + 1	PD[];
-0.898005592	-0.11793516	0.423883539	0_1	 + 1	PD[];
0.0190502651	0.190868993	-0.981430647	0_1	 + 1	PD[];
0.101163964	-0.236790307	-0.966279568	0_1	 + 1	PD[];
0.180793151	-0.575215908	-0.797772208	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.582238207	-0.595918777	-0.553063723	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.337052151	-0.792776142	0.507840365	0_1	 + 1	PD[];
0.376137787	-0.412655532	0.829599769	0_1	 + 1	PD[];
-0.678986392	-0.659974785	-0.321575438	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.470948889	0.247197209	-0.846817975	0_1	 + 1	PD[];
-0.910211303	-0.0278612485	-0.413205923	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.659747278	0.739491129	-0.133740043	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.268267846	-0.153981003	-0.950958576	0_1	 + 1	PD[];
0.304930433	-0.66965687	0.677183215	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.324618151	-0.843422851	0.428089886	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.373416391	-0.923809731	0.0844735457	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.551174831	-0.612222077	-0.566913075	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.838737505	-0.483869503	-0.249779308	0_1	 + 1	PD[];
-0.282144669	0.597206925	0.750825062	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.441856656	0.124153111	0.888452982	0_1	 + 1	PD[];
-0.840134879	0.350869526	0.413598793	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.630325895	-0.214805108	-0.746021469	0_1	 + 1	PD[];
0.136122985	-0.869338388	-0.475101358	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.329154028	-0.943532414	0.037472778	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
