#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.902020287	0.15495687	-0.402924026	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.509842569	-0.853046456	-0.111230835	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.454341203	-0.787995871	-0.415495582	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.101615081	-0.401948578	-0.910006437	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[6,1,7,0],X[1,8,2,7],X[8,3,9,2],X[3,6,4,5],X[9,5,10,4]];
0.812351309	0.192892265	0.550343461	4_8s|4_8m	 - A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)	PD[X[8,5,9,4],X[7,11,8,10],X[6,1,7,0],X[5,2,6,3],X[3,10,4,9],X[1,12,2,11]];
0.501978372	0.145476626	-0.852557485	UNKNOWN	 + A^(-20) + A^(-18) - 3*A^(-16) - 3*A^(-14) + 2*A^(-12) + 4*A^(-10) - 3*A^(-6) + 2*A^(-2) + 1 - A^(2)	PD[X[0,16,1,15],X[3,11,4,12],X[7,11,8,10],X[17,6,18,5],X[9,15,10,14],X[13,9,14,8],X[6,4,7,5],X[16,2,17,1],X[12,2,13,3]];
0.910868756	0.387873164	0.14096992	4_8s|4_8m	 - A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)	PD[X[3,0,4,1],X[5,10,6,9],X[7,2,8,1],X[6,5,7,4],X[2,9,3,8]];
-0.55871889	0.813995939	0.158883017	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.610768759	0.0681594006	0.788869963	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.268095767	0.74339046	0.6127767	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.124870885	0.816193696	0.564123313	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.946819473	0.230929399	0.224063603	0_1	 + 1	PD[];
-0.222129649	0.322873337	-0.920006102	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.844895015	-0.109272077	-0.523652581	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.123496195	-0.509905727	0.85131947	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.908754687	0.195484953	-0.368714729	0_1	 + 1	PD[];
0.405108637	-0.675750657	-0.61583118	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.531600253	-0.351200019	-0.770752695	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,5,1,4],X[5,2,6,1],X[2,7,3,6],X[7,4,8,3]];
-0.664045409	-0.681635823	0.307272355	0_1	 + 1	PD[];
