#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.900648825	-0.309104009	-0.305428234	0_1	 + 1	PD[];
-0.508357755	-0.388765563	-0.768396857	0_1	 + 1	PD[];
0.0165958256	-0.99603147	-0.0874407743	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0771661852	0.414756434	0.906654554	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.657306698	0.75251171	0.0409149276	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.923564969	0.246897979	-0.293375419	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.891683666	0.304171654	0.33523103	0_1	 + 1	PD[];
-0.626919987	0.0673572664	-0.776166431	0_1	 + 1	PD[];
-0.421011903	-0.300270764	0.855912639	5_20|5_20ms	 + A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)	PD[X[6,1,7,0],X[1,8,2,7],X[8,3,9,2],X[3,6,4,5],X[4,9,5,10]];
-0.546794445	-0.819983044	0.169244329	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.579747397	0.470027811	0.66555752	0_1	 + 1	PD[];
-0.447564642	-0.568578316	0.690220682	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.38113286	-0.814640372	-0.437148497	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[7,1,8,0],X[1,7,2,6],X[2,5,3,4],X[9,4,10,3],X[8,6,9,5]];
0.440558583	0.324978526	-0.836837554	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.318043901	0.89874061	0.301849951	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.426035377	0.848376602	0.314246717	4_8s|4_8m	 - A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)	PD[X[3,10,4,9],X[0,11,1,10],X[6,12,7,11],X[7,2,8,1],X[5,2,6,3],X[8,5,9,4]];
-0.418734277	-0.908022517	0.012518561	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.515991293	-0.823102263	-0.237182737	4_8s|4_8m	 - A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)	PD[X[0,7,1,6],X[11,2,12,1],X[10,8,11,7],X[9,4,10,3],X[2,5,3,6],X[4,9,5,8]];
0.903008456	0.0514676272	0.426528793	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.859717166	0.254577381	0.442805546	0_1	 + 1	PD[];
0.868295315	0.104816492	-0.48484714	6_13s|6_13m	 - A^(-24) - A^(-22) + 2*A^(-20) + 2*A^(-18) - A^(-16) - 3*A^(-14) + 2*A^(-10) + A^(-8)	PD[X[0,12,1,11],X[13,8,14,7],X[12,2,13,1],X[5,2,6,3],X[8,5,9,4],X[6,11,7,10],X[3,10,4,9]];
0.00416116783	0.979755597	0.200154076	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[4,1,5,0],X[1,6,2,5],X[6,3,7,2],X[3,8,4,7]];
0.448338793	0.473119571	0.758386576	0_1	 + 1	PD[];
-0.0113650196	0.873273679	-0.487097443	0_1	 + 1	PD[];
0.0652279368	0.636496631	0.768516334	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[5,2,6,1],X[2,5,3,4],X[3,1,4,0]];
0.950775417	-0.273944684	0.144846181	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.239045785	-0.898552494	-0.368049629	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.76264173	-0.521229292	-0.383011248	0_1	 + 1	PD[];
0.210447403	0.95624341	0.203249679	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
