#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.970283238	-0.0428500838	-0.238147659	0_1	 + 1	PD[];
0.80730736	-0.589834402	0.018713743	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.518120023	0.0880915855	0.850759375	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.815474195	0.420323838	-0.397906659	0_1	 + 1	PD[];
-0.0194655109	-0.0724956057	-0.997178761	6_26s|6_26m	 - A^(-24) - A^(-22) + A^(-20) + 2*A^(-18) - A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8) - A^(-6)	PD[X[9,1,10,0],X[3,9,4,8],X[1,11,2,10],X[11,3,12,2],X[6,4,7,5],X[13,6,14,5],X[12,8,13,7]];
-0.167968575	-0.917022661	0.361740234	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.19167788	-0.469941186	-0.861635	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.320098292	-0.666414744	-0.673370976	5_20|5_20ms	 + A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)	PD[X[9,4,10,5],X[0,7,1,6],X[7,2,8,1],X[2,9,3,8],X[5,4,6,3]];
-0.916535608	0.388817172	0.0937213218	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.708012245	-0.655489542	0.262777702	0_1	 + 1	PD[];
-0.988287192	0.016605972	-0.151699265	0_1	 + 1	PD[];
-0.0670236207	-0.0283470455	-0.997348625	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[11,7,12,6],X[8,5,9,4],X[9,2,10,1],X[0,4,1,3],X[5,8,6,7],X[2,11,3,10]];
-0.0349796798	0.559103733	-0.828359486	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.145352509	0.860450827	-0.48836157	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.649698883	-0.509766027	-0.563941449	0_1	 + 1	PD[];
-0.666092487	-0.0819085818	-0.741358066	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[2,6,3,5],X[9,7,10,6],X[3,12,4,11],X[8,1,9,0],X[1,8,2,7],X[10,5,11,4]];
0.898669017	0.279186353	0.338303086	0_1	 + 1	PD[];
-0.961708832	-0.272892949	-0.025407868	0_1	 + 1	PD[];
0.221837699	0.387305446	-0.89486453	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.948759888	0.220789743	-0.226067611	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.58726662	-0.338847927	0.735051019	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[6,1,7,0],X[2,9,3,8],X[9,4,10,3],X[4,2,5,1],X[5,8,6,7]];
-0.246310332	0.0766143926	-0.96615809	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[7,2,8,1],X[0,7,1,6],X[3,10,4,9],X[2,6,3,5],X[8,5,9,4]];
0.673681952	-0.70260189	-0.229135795	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.749244902	0.0427276596	0.660913325	5_16s|5_16m	 - A^(-24) + 2*A^(-20) + A^(-18) - 2*A^(-16) - 3*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8)	PD[X[5,1,6,0],X[7,4,8,3],X[1,9,2,8],X[4,7,5,6],X[9,3,10,2]];
0.466059974	0.458604069	0.756617743	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.355341964	-0.920325244	-0.163503923	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.376952676	0.65847706	0.651394382	4_5|4_5ms	 + A^(-14) - 2*A^(-10) - A^(-8) + A^(-6) + 2*A^(-4)	PD[X[4,0,5,1],X[1,7,2,6],X[7,3,8,2],X[5,4,6,3]];
-0.559306083	0.723511052	0.404609025	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.869072435	-0.0658303405	0.49028509	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.852936146	-0.00910704491	0.521935813	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.916919349	-0.154961335	0.367757926	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[6,1,7,0],X[4,2,5,1],X[2,9,3,8],X[9,4,10,3],X[5,8,6,7]];
0.0956093888	-0.40855688	0.907711474	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.350201474	-0.164158693	0.922177234	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.397579068	0.63967584	0.657834101	4_5|4_5ms	 + A^(-14) - 2*A^(-10) - A^(-8) + A^(-6) + 2*A^(-4)	PD[X[4,0,5,1],X[1,7,2,6],X[7,3,8,2],X[5,4,6,3]];
-0.654231282	0.675657071	0.339807228	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.159922153	0.858293486	-0.487603524	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
