#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.247187976	0.177902475	-0.952496096	0_1	 + 1	PD[];
-0.229236456	-0.798991627	-0.555934373	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.717851776	0.568787275	-0.401459666	0_1	 + 1	PD[];
-0.53757466	-0.836783993	0.103952078	0_1	 + 1	PD[];
0.91373559	-0.406034728	-0.0149355857	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.032715917	-0.998174612	-0.0507652662	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.350076823	0.867528456	0.353327888	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.0301931815	0.938282365	0.344549816	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
-0.608343224	-0.216074296	0.76369524	0_1	 + 1	PD[];
-0.895535656	0.057903436	-0.441206393	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.789565425	0.323471856	0.521490555	0_1	 + 1	PD[];
-0.0437851573	0.599343408	-0.79929365	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.250916435	-0.188788814	0.949420732	0_1	 + 1	PD[];
0.78024033	-0.199686196	0.592748218	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.714739356	-0.441783593	-0.542194531	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.137251116	0.593900137	0.792745078	0_1	 + 1	PD[];
-0.581962656	0.455944825	0.673374921	0_1	 + 1	PD[];
-0.892038347	-0.43205115	-0.132662696	0_1	 + 1	PD[];
0.347389803	0.852675674	-0.390210867	0_1	 + 1	PD[];
0.0779982707	-0.98537235	-0.151517658	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.827060739	-0.259996608	0.49836964	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.477275423	-0.857826859	-0.190633814	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.411721475	-0.906384786	0.0946152522	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.282906806	0.933438657	0.22058108	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.671905286	-0.245762486	0.698673091	0_1	 + 1	PD[];
-0.279225552	-0.724005507	-0.630752817	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.00654886738	0.997579216	-0.0692302026	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.822721184	-0.452856654	-0.343585075	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.509434072	0.612305401	-0.604614771	0_1	 + 1	PD[];
