#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.590587778	-0.629109427	-0.505398264	0_1	 + 1	PD[];
-0.0583306575	-0.991205613	-0.118781171	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.307261059	0.897157991	-0.317329765	0_1	 + 1	PD[];
-0.972710552	0.203406827	-0.111623675	0_1	 + 1	PD[];
0.37102957	-0.6479309	0.665223727	0_1	 + 1	PD[];
-0.891922679	-0.333202781	0.305695669	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.990368904	0.064200185	-0.122669355	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,8,1,7],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6]];
-0.550098194	-0.20349887	-0.809926038	0_1	 + 1	PD[];
-0.764137425	-0.641827174	0.0644350406	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[6,2,7,1],X[7,5,8,4],X[2,6,3,5],X[3,1,4,0]];
0.268643072	-0.744432089	0.611270615	0_1	 + 1	PD[];
-0.55431144	0.0810811608	-0.828350574	0_1	 + 1	PD[];
-0.705967402	0.70714032	-0.0395296686	0_1	 + 1	PD[];
-0.585061164	-0.598245104	-0.547545642	0_1	 + 1	PD[];
-0.0548274226	0.992629118	-0.108080467	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.659333792	0.749154938	-0.0636068336	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.0184066947	0.857375782	0.514361703	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.461553048	0.823186132	0.330655979	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.964721787	0.0806174974	0.250624604	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.405627455	0.046307622	-0.912864706	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.837400521	-0.502439632	0.215208696	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.830408048	0.357798562	-0.427086247	0_1	 + 1	PD[];
0.458387086	0.544651712	0.702307477	0_1	 + 1	PD[];
-0.263844958	-0.913094935	0.310875343	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.258806993	0.960601924	-0.101305893	0_1	 + 1	PD[];
0.890781692	0.360644091	-0.276484751	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.047881903	-0.534320657	-0.843924617	0_1	 + 1	PD[];
0.731329833	-0.426004191	-0.532613466	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.393158327	-0.269923364	-0.878958422	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.305506739	-0.0971506006	-0.947220879	0_1	 + 1	PD[];
-0.632202048	0.504194014	0.588310264	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
