#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.752189659	-0.336208714	-0.566722523	0_1	 + 1	PD[];
-0.550283727	0.685054343	-0.477376547	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.307588771	-0.105489954	0.945653751	0_1	 + 1	PD[];
0.125132448	-0.29075115	0.948580856	0_1	 + 1	PD[];
-0.974264879	-0.108203065	-0.197737305	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.172711966	0.45448765	-0.873848701	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.723636459	-0.684028545	0.0919523002	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.0477368383	0.859352273	0.509151123	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.289662633	0.466064418	0.835990142	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.110729747	0.862738782	0.493376851	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.323617509	0.529013393	-0.784484887	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.879219697	0.189730195	0.437007067	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.904725639	0.422446753	-0.0548658324	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.210904901	0.162514979	0.963902487	0_1	 + 1	PD[];
0.780021867	0.511658983	0.360237382	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.274478058	0.8851449	-0.375739674	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.922244116	-0.376007686	0.0899111279	0_1	 + 1	PD[];
-0.454453309	-0.865256559	-0.211667844	0_1	 + 1	PD[];
-0.984540498	-0.144133799	0.0995261543	0_1	 + 1	PD[];
0.0992061283	-0.985479077	0.13780106	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.658607725	-0.221088039	-0.719274595	0_1	 + 1	PD[];
0.754218837	0.446252604	-0.48167682	0_1	 + 1	PD[];
0.946266695	0.2076641	0.247901115	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[1,7,2,6],X[5,3,6,2],X[4,8,5,7]];
0.150263965	-0.854026023	0.498056516	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.13165619	-0.86053412	-0.492085029	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.550624232	0.4061665	0.729274797	0_1	 + 1	PD[];
0.004394027	-0.283616953	0.958927587	0_1	 + 1	PD[];
-0.908036917	-0.281951984	0.309793537	0_1	 + 1	PD[];
-0.72963473	-0.576613448	0.367627656	0_1	 + 1	PD[];
0.00782539697	0.982431308	0.18646042	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.674952893	0.737827118	-0.00705237221	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.595474858	0.213940375	-0.774363745	0_1	 + 1	PD[];
0.509819525	-0.485058272	0.710494563	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.865619641	-0.0527979349	0.49791065	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.191317314	0.764082874	-0.616096622	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.38504554	-0.423517968	0.819983209	0_1	 + 1	PD[];
-0.550360367	-0.508269775	0.662393616	0_1	 + 1	PD[];
0.899165684	0.335816728	0.280585456	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.433633206	0.641063483	0.633245493	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.986712744	0.0193264158	-0.161320957	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.181466591	-0.882031203	0.434845758	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.724486209	-0.545860421	-0.420899197	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.408835187	-0.582463679	0.702559501	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.54872738	-0.635997379	-0.542591555	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.950838235	-0.309521341	0.0101582403	0_1	 + 1	PD[];
-0.506715708	0.515085016	0.691322369	0_1	 + 1	PD[];
0.292126341	0.196841326	0.935903677	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.964382863	0.203740958	0.168687033	0_1	 + 1	PD[];
0.203475685	0.419657493	-0.884581955	0_1	 + 1	PD[];
-0.863271438	0.50399008	-0.027503157	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.202991608	0.923676301	0.32498692	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.11973156	-0.0895357581	-0.98876069	0_1	 + 1	PD[];
0.0779169647	0.677101176	-0.731753335	0_1	 + 1	PD[];
0.330916117	0.345454927	-0.878154552	0_1	 + 1	PD[];
0.216678665	-0.208039198	-0.953818666	0_1	 + 1	PD[];
0.333523276	0.939150044	-0.0822156919	0_1	 + 1	PD[];
-0.962880878	0.189760197	0.191967398	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0982811193	0.00751239853	0.995130336	0_1	 + 1	PD[];
0.0802770771	0.996736032	0.00853659259	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.117785	-0.71768528	-0.686334126	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.946044617	-0.31318754	0.0831453362	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.374221381	-0.000850145228	0.927339008	0_1	 + 1	PD[];
0.692789225	-0.450425446	-0.563169609	0_1	 + 1	PD[];
0.874986741	0.241187947	0.419793495	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.174063582	-0.547462721	-0.818526993	0_1	 + 1	PD[];
-0.0531606387	0.520632672	0.85212415	0_1	 + 1	PD[];
-0.449398434	-0.793040649	0.411251232	0_1	 + 1	PD[];
-0.436932115	0.826082531	0.355918501	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.149880131	-0.615116523	0.774059177	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.294905101	0.613974216	0.732165722	0_1	 + 1	PD[];
-0.342956823	0.0966087445	-0.934370038	0_1	 + 1	PD[];
0.543853511	-0.413033431	0.7304976	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.167088806	-0.654384304	-0.737470348	0_1	 + 1	PD[];
-0.917242164	0.397297266	0.0286652283	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.959040407	-0.249291758	-0.134518093	0_1	 + 1	PD[];
0.0470285977	-0.901181551	0.430882957	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.801537984	0.182549999	0.569396486	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.275759136	0.628946501	0.726899717	0_1	 + 1	PD[];
0.963608776	0.251641268	-0.0901931194	0_1	 + 1	PD[];
0.88987901	0.317056419	-0.328010022	0_1	 + 1	PD[];
-0.743642883	-0.096100733	-0.661634273	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.00439133137	0.707171993	0.707027926	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.723901969	0.346460748	0.596599439	0_1	 + 1	PD[];
-0.315798749	-0.555244485	-0.769398929	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.202540268	0.817801471	-0.538681905	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.900638448	0.309995102	-0.304554466	0_1	 + 1	PD[];
0.720704299	-0.139207507	-0.67912192	0_1	 + 1	PD[];
-0.386713282	0.919472321	0.0708765658	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.392797625	0.919503448	0.0149477124	0_1	 + 1	PD[];
-0.25840639	-0.515282601	-0.817135227	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.819278225	-0.212767311	-0.532459633	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.0313484358	-0.655795203	0.754287696	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.40364104	-0.279233648	0.871264874	0_1	 + 1	PD[];
0.840796839	0.498193343	-0.211811399	0_1	 + 1	PD[];
-0.630401818	0.448044679	-0.633916014	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.37393317	0.36479252	-0.852701825	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.992389105	0.0821012084	-0.0917782937	0_1	 + 1	PD[];
-0.0573859086	0.516952513	-0.854088378	0_1	 + 1	PD[];
0.758548867	-0.156641188	-0.632508621	0_1	 + 1	PD[];
0.785204795	-0.060269292	-0.616296229	0_1	 + 1	PD[];
-0.197235495	-0.725300434	0.65957368	0_1	 + 1	PD[];
0.994963929	0.10022481	-0.00132955611	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.00131008064	-0.0810929135	0.996705685	0_1	 + 1	PD[];
0.945596231	0.0622036789	0.319340681	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.610775435	0.698118504	-0.373609317	0_1	 + 1	PD[];
