#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.318208137	0.903347356	-0.287588483	0_1	 + 1	PD[];
-0.655552554	0.639031131	0.402355641	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.181601907	0.272662388	-0.94481531	0_1	 + 1	PD[];
0.278222942	-0.837624999	0.470081223	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.263806931	-0.684046495	-0.68006345	0_1	 + 1	PD[];
0.530811357	-0.692845151	0.488062393	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.594841978	-0.172793272	-0.785051276	0_1	 + 1	PD[];
0.794975743	0.574882956	-0.193708943	0_1	 + 1	PD[];
-0.599769703	0.366285971	0.711414711	0_1	 + 1	PD[];
-0.925145135	-0.047395531	-0.376643257	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.801806971	0.513454575	-0.305728606	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.597347623	-0.135070961	-0.790526188	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.91680231	0.345931432	0.199511824	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.814627876	-0.530006116	-0.23553119	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.616042648	0.712729619	0.335422042	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.226261098	0.421511727	-0.878142232	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.407853748	-0.0172198248	-0.912884877	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.143068433	-0.985536933	-0.0908205723	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.867612177	-0.187173903	0.460668038	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.27897611	-0.958343264	-0.0612414759	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.883514429	-0.276679613	0.377955878	0_1	 + 1	PD[];
0.78344981	0.616620238	0.0773684527	0_1	 + 1	PD[];
0.903309524	0.428957645	0.00521947304	0_1	 + 1	PD[];
0.357224173	-0.897932384	-0.25711539	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.106339315	0.129962281	0.985800059	0_1	 + 1	PD[];
0.655642519	0.496944837	0.568488097	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.590805792	-0.488637913	-0.642013633	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.46389592	-0.883771612	-0.0612234655	0_1	 + 1	PD[];
0.512914115	0.697481113	-0.500439015	0_1	 + 1	PD[];
0.948253349	0.275289661	0.158212479	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.980281334	-0.174044785	-0.0935784141	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.700280657	0.650941598	-0.293056372	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.620262475	-0.244578518	0.745289078	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.10699114	0.16753322	0.98004363	0_1	 + 1	PD[];
-0.604988769	-0.790626958	0.0943271033	0_1	 + 1	PD[];
0.287222435	0.87523971	0.389176982	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.335851369	0.0167256385	-0.941766484	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.295581672	-0.946772979	0.127484907	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.523220628	-0.852146618	-0.00929058576	0_1	 + 1	PD[];
0.405817893	-0.46603366	0.78620892	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.738982447	-0.307081931	0.599671269	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.935893027	0.286417128	-0.205108438	0_1	 + 1	PD[];
0.151743525	-0.676846245	-0.720314558	0_1	 + 1	PD[];
0.313470931	-0.7348936	0.601387871	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.236767004	-0.796281687	-0.556665842	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.787088454	0.515271244	-0.33909779	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.213187057	0.4478699	0.868310907	0_1	 + 1	PD[];
-0.0768388856	0.943603051	0.322038923	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.716020013	-0.457640344	0.527143867	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.642889491	0.522835691	-0.559764185	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.427386287	-0.904013638	-0.0100151757	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.373326759	-0.907326469	-0.193354105	0_1	 + 1	PD[];
-0.357539451	0.222541174	0.906995572	0_1	 + 1	PD[];
0.68000442	0.661977855	-0.31524484	0_1	 + 1	PD[];
0.480448968	-0.821344831	0.307508469	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.142450131	0.456566034	0.878211488	0_1	 + 1	PD[];
0.0264166119	0.0582704283	-0.997951261	0_1	 + 1	PD[];
0.783240432	0.53420709	0.318052215	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.191445701	0.738792436	-0.646168926	0_1	 + 1	PD[];
-0.701777488	-0.554498754	-0.447257744	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.343255383	0.938798774	0.028854874	0_1	 + 1	PD[];
0.578360541	0.728764156	0.366608631	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0388079918	0.0416450791	-0.998378499	0_1	 + 1	PD[];
0.946687762	-0.3123303	0.07894343	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.83024839	-0.545051216	0.116648118	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.576895312	0.136024844	-0.805412342	0_1	 + 1	PD[];
-0.815099385	-0.533373317	-0.226110366	0_1	 + 1	PD[];
0.447036754	-0.0384938129	-0.893686951	0_1	 + 1	PD[];
0.380486091	-0.131137091	-0.915441641	0_1	 + 1	PD[];
0.646171696	-0.722937684	0.244587908	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.10786215	-0.0494695357	0.992934299	0_1	 + 1	PD[];
-0.0702702141	-0.110728793	-0.99136332	0_1	 + 1	PD[];
0.0559495	-0.410287093	-0.910238515	0_1	 + 1	PD[];
0.63059931	0.279546641	-0.724015321	0_1	 + 1	PD[];
-0.846873031	-0.0130198462	-0.531635733	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.103095567	-0.983850405	0.146320487	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.691386137	0.630466461	-0.35284168	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.975678458	-0.0843951603	-0.202309176	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.725143366	0.42087804	-0.545003463	0_1	 + 1	PD[];
0.830235638	0.493932381	-0.258340064	0_1	 + 1	PD[];
0.823905533	-0.512841689	0.241190951	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.111531523	-0.541306203	0.833395653	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.856753567	-0.12538497	0.500251871	0_1	 + 1	PD[];
-0.300829861	0.839265991	-0.452917202	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.60805167	-0.0596303879	-0.791654839	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.942376806	-0.291963858	0.163349506	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.397081206	0.550193799	0.734583759	0_1	 + 1	PD[];
-0.682726844	-0.202415472	-0.702076942	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.996194663	0.0744563934	-0.0453038476	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.13856789	0.538432511	0.831197552	0_1	 + 1	PD[];
-0.229851875	0.900126164	0.370055407	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.484195113	0.863913351	0.13859587	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.495168712	-0.852180509	0.169104486	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.244770341	0.667322512	0.703397573	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.360869295	-0.902846896	-0.23375379	0_1	 + 1	PD[];
-0.0194520099	-0.908683408	0.417032473	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.793328204	-0.232937298	-0.562468289	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.0813279015	0.828278235	-0.554383386	0_1	 + 1	PD[];
0.660392859	0.71392225	-0.232800972	0_1	 + 1	PD[];
