#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.620508425	-0.155490649	-0.768629919	0_1	 + 1	PD[];
0.57938119	-0.209602474	0.787644742	0_1	 + 1	PD[];
-0.431513861	-0.296236681	-0.852079583	0_1	 + 1	PD[];
0.204455223	-0.223349276	0.953054648	0_1	 + 1	PD[];
-0.210484251	-0.548484438	-0.809234948	0_1	 + 1	PD[];
-0.512554225	-0.232731925	-0.826513168	0_1	 + 1	PD[];
0.696351874	-0.688381783	0.203038389	0_1	 + 1	PD[];
0.919013624	-0.3569772	0.167275931	0_1	 + 1	PD[];
0.488901185	-0.21008016	-0.846665198	0_1	 + 1	PD[];
-0.055473818	0.0123518397	-0.998383738	0_1	 + 1	PD[];
0.950142074	-0.0397928477	-0.309267796	0_1	 + 1	PD[];
0.0337372128	-0.801914169	0.596485931	0_1	 + 1	PD[];
0.805508229	0.0887017537	0.585908263	0_1	 + 1	PD[];
0.928350119	-0.314855092	-0.197566009	0_1	 + 1	PD[];
-0.376282684	-0.275390527	-0.884630657	0_1	 + 1	PD[];
-0.615492391	0.0268267912	0.78768613	0_1	 + 1	PD[];
-0.0163540329	-0.141227702	0.989842049	0_1	 + 1	PD[];
-0.214740585	0.546413593	-0.809517552	0_1	 + 1	PD[];
-0.613177133	0.767602216	-0.186549304	0_1	 + 1	PD[];
-0.167820694	0.0525952648	0.984413507	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.356308883	-0.933714107	-0.0349563542	0_1	 + 1	PD[];
0.59145874	-0.512414786	0.622581437	0_1	 + 1	PD[];
-0.647379059	0.0391893729	-0.761160001	0_1	 + 1	PD[];
0.91535294	-0.304518509	0.263433999	0_1	 + 1	PD[];
0.215983853	0.776857016	0.591476249	0_1	 + 1	PD[];
-0.928651445	0.370722396	-0.0130919726	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
0.384955987	-0.850442957	0.358546602	0_1	 + 1	PD[];
-0.981142851	-0.114206545	0.155934506	0_1	 + 1	PD[];
0.301148101	-0.166220526	-0.938978465	0_1	 + 1	PD[];
-0.278285541	-0.128287794	-0.951892536	0_1	 + 1	PD[];
0.876856158	0.2934213	-0.380824395	0_1	 + 1	PD[];
0.758574363	-0.124573343	-0.639567368	0_1	 + 1	PD[];
-0.637700667	0.630286056	0.442806219	0_1	 + 1	PD[];
-0.53021419	0.814471438	0.235603883	0_1	 + 1	PD[];
0.0155112719	0.886117752	-0.463200529	0_1	 + 1	PD[];
0.342314289	-0.697913557	-0.629076779	0_1	 + 1	PD[];
0.137851846	0.970767913	-0.196485439	0_1	 + 1	PD[];
0.186962186	-0.712894301	0.675889678	0_1	 + 1	PD[];
-0.012110118	0.792340124	-0.609959402	0_1	 + 1	PD[];
-0.444329585	-0.661356883	0.604299837	0_1	 + 1	PD[];
0.751857623	-0.653472858	0.0876546521	0_1	 + 1	PD[];
-0.912537612	0.395506657	-0.104161371	0_1	 + 1	PD[];
0.231293371	-0.849284256	-0.474573103	0_1	 + 1	PD[];
-0.667757717	0.550319131	0.50124693	0_1	 + 1	PD[];
-0.346791317	-0.931559318	0.109238361	0_1	 + 1	PD[];
0.561477809	0.824288647	-0.0727385506	0_1	 + 1	PD[];
-0.817728994	0.244782981	-0.520961212	0_1	 + 1	PD[];
-0.877062079	-0.118748053	-0.465468592	0_1	 + 1	PD[];
-0.145518862	-0.98665998	0.0729818032	0_1	 + 1	PD[];
-0.764279312	0.432741535	-0.478133764	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
-0.881490936	-0.45448482	0.128129927	0_1	 + 1	PD[];
-0.104413866	0.967526945	0.230194171	0_1	 + 1	PD[];
0.923042063	0.337350867	0.184899274	0_1	 + 1	PD[];
0.252453679	0.961554092	-0.108078068	0_1	 + 1	PD[];
0.958314073	0.256049199	0.126779121	0_1	 + 1	PD[];
0.127340851	-0.935157718	0.330551584	0_1	 + 1	PD[];
0.315245559	0.735468738	0.599754927	0_1	 + 1	PD[];
-0.225948392	-0.268215686	0.936486877	0_1	 + 1	PD[];
0.163953795	-0.985962627	0.0315729617	0_1	 + 1	PD[];
