#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.768157606	0.0176376219	0.640017818	0_1	 + 1	PD[];
-0.928738692	0.065323813	-0.364934571	0_1	 + 1	PD[];
0.0627998479	-0.997555017	-0.0306621487	0_1	 + 1	PD[];
0.242254932	0.0416533119	0.969318085	0_1	 + 1	PD[];
0.283988665	0.372351297	-0.883575096	0_1	 + 1	PD[];
0.794097444	0.437723569	-0.421672059	0_1	 + 1	PD[];
-0.210427319	-0.571435281	-0.793209974	0_1	 + 1	PD[];
-0.365264307	-0.892781102	0.263673831	0_1	 + 1	PD[];
0.114952959	-0.75331292	0.647538	0_1	 + 1	PD[];
0.582394674	-0.570439241	0.579150686	0_1	 + 1	PD[];
0.535737699	0.785250761	-0.310429315	0_1	 + 1	PD[];
-0.132101965	-0.979466345	0.152298228	0_1	 + 1	PD[];
0.932234746	-0.273485218	-0.236947702	0_1	 + 1	PD[];
-0.344891804	0.587425448	0.732107223	0_1	 + 1	PD[];
-0.802392717	-0.590010615	-0.0897407471	0_1	 + 1	PD[];
-0.702633315	-0.496580061	0.509622083	0_1	 + 1	PD[];
-0.0966702976	-0.87103421	0.481616299	0_1	 + 1	PD[];
0.980239772	-0.194038355	-0.0384591371	0_1	 + 1	PD[];
-0.107898851	0.859156276	-0.500208288	0_1	 + 1	PD[];
-0.600378128	-0.791987875	-0.110911269	0_1	 + 1	PD[];
-0.19396784	-0.826899532	-0.52783865	0_1	 + 1	PD[];
0.565210619	0.590884318	-0.575667159	0_1	 + 1	PD[];
-0.0125945248	0.784454973	0.620057879	0_1	 + 1	PD[];
-0.685591656	0.475919972	-0.550875905	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
-0.433967726	-0.900501033	0.0277470937	0_1	 + 1	PD[];
0.308282522	0.632737307	0.710355817	0_1	 + 1	PD[];
0.497109186	0.475151498	0.726025833	0_1	 + 1	PD[];
-0.407032298	-0.853267318	0.325974834	0_1	 + 1	PD[];
0.600352717	-0.415007692	0.683626529	0_1	 + 1	PD[];
-0.451518538	-0.885521523	0.109465258	0_1	 + 1	PD[];
0.979099319	0.159746036	0.125879818	0_1	 + 1	PD[];
-0.963480259	-0.219419778	0.153495118	0_1	 + 1	PD[];
0.279629224	-0.900211458	-0.333806573	0_1	 + 1	PD[];
0.117671783	0.13131392	0.984332264	0_1	 + 1	PD[];
0.898869444	0.209038632	0.385144874	0_1	 + 1	PD[];
-0.653360723	0.753845282	-0.0695489482	0_1	 + 1	PD[];
-0.144318639	-0.940089698	0.308874553	0_1	 + 1	PD[];
0.797354997	-0.0831745519	-0.597751623	0_1	 + 1	PD[];
0.235173005	0.252378205	0.938615416	0_1	 + 1	PD[];
0.950708911	-0.0105079556	0.309906677	0_1	 + 1	PD[];
0.614229941	0.377839757	0.692790515	0_1	 + 1	PD[];
-0.244185337	-0.879007496	-0.409535521	0_1	 + 1	PD[];
-0.891007692	0.453965482	0.00454247696	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
0.456559883	0.0191194752	-0.889487222	0_1	 + 1	PD[];
0.371511669	-0.0350588974	-0.927766109	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
