#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.826060237	-0.15510341	0.541818619	0_1	 + 1	PD[];
-0.310192929	0.779946625	-0.543565643	0_1	 + 1	PD[];
-0.171602848	-0.866126632	-0.469443414	0_1	 + 1	PD[];
0.588492628	0.107662391	-0.801302213	0_1	 + 1	PD[];
-0.768929545	0.566784696	0.295808153	0_1	 + 1	PD[];
0.320932786	0.39803102	0.859402963	0_1	 + 1	PD[];
0.267957119	-0.0784733721	-0.960229614	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.165589174	0.985368201	-0.0403699675	0_1	 + 1	PD[];
0.535685305	-0.511679211	0.67173331	0_1	 + 1	PD[];
0.448895501	0.267159566	-0.852712493	0_1	 + 1	PD[];
0.151901237	0.952789978	-0.26290164	0_1	 + 1	PD[];
0.967919022	-0.117932715	0.221866269	0_1	 + 1	PD[];
0.577347608	-0.358572477	-0.733549942	0_1	 + 1	PD[];
0.549887171	0.134436511	-0.824348788	0_1	 + 1	PD[];
0.742297074	-0.276377868	-0.610418158	0_1	 + 1	PD[];
-0.965138863	-0.260023094	-0.0299159922	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
-0.678712678	-0.510612847	-0.527848104	0_1	 + 1	PD[];
0.448864634	-0.596235141	0.665600629	0_1	 + 1	PD[];
-0.854474114	0.324407376	0.405750962	0_1	 + 1	PD[];
-0.830066163	-0.322431849	-0.455003151	0_1	 + 1	PD[];
0.684052848	0.292067772	-0.66840715	0_1	 + 1	PD[];
0.0902331666	-0.630246467	-0.771133819	0_1	 + 1	PD[];
-0.581207922	0.597802962	-0.552113186	0_1	 + 1	PD[];
0.674826711	-0.672657917	-0.303546103	0_1	 + 1	PD[];
0.390208686	-0.666520466	0.635206777	0_1	 + 1	PD[];
-0.859141375	-0.499902527	-0.109423766	0_1	 + 1	PD[];
0.430766218	-0.891548344	0.139935758	0_1	 + 1	PD[];
-0.635467744	0.681566154	0.362833743	0_1	 + 1	PD[];
0.526124199	-0.779062334	0.340962179	0_1	 + 1	PD[];
0.541294461	0.810398451	0.224175503	0_1	 + 1	PD[];
-0.208301102	0.627363732	0.750350184	0_1	 + 1	PD[];
-0.440252167	0.812969615	-0.381127845	0_1	 + 1	PD[];
0.147320937	0.825646708	-0.544613675	0_1	 + 1	PD[];
-0.318084914	0.919014693	0.232881905	0_1	 + 1	PD[];
0.0239512617	0.142659179	0.989482034	0_1	 + 1	PD[];
0.919391148	-0.342167707	0.19401334	0_1	 + 1	PD[];
-0.312457026	0.841437013	-0.440856393	0_1	 + 1	PD[];
-0.616061371	0.717005448	0.326146555	0_1	 + 1	PD[];
0.341505969	0.939554482	0.0247194008	0_1	 + 1	PD[];
-0.223100561	0.0329510055	0.974238354	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.0404178322	-0.942606588	0.331450175	0_1	 + 1	PD[];
-0.619089585	0.741962719	0.257331322	0_1	 + 1	PD[];
0.519556497	-0.84943392	-0.0923204347	0_1	 + 1	PD[];
0.448479693	0.889565531	-0.0868281727	0_1	 + 1	PD[];
-0.505941487	0.0540081834	0.860875327	0_1	 + 1	PD[];
-0.819315403	0.46851905	-0.330472647	0_1	 + 1	PD[];
-0.114877011	0.197310554	-0.973587088	0_1	 + 1	PD[];
0.437143208	0.42226644	-0.794101297	0_1	 + 1	PD[];
0.846568125	0.0186786686	-0.531952551	0_1	 + 1	PD[];
-0.180463982	0.763366464	-0.620245429	0_1	 + 1	PD[];
0.0612690243	-0.615770153	-0.785540085	0_1	 + 1	PD[];
-0.479837967	0.870482526	0.109616138	0_1	 + 1	PD[];
-0.789213853	0.174552256	0.588789439	0_1	 + 1	PD[];
-0.128611383	0.139670406	0.981810211	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.386027008	0.668712564	0.635457831	0_1	 + 1	PD[];
0.391529993	-0.138117266	0.909740559	0_1	 + 1	PD[];
0.0734649998	-0.969938429	-0.231996416	0_1	 + 1	PD[];
0.46848091	-0.320817749	0.823165603	0_1	 + 1	PD[];
0.910428508	0.411018909	0.0467267367	0_1	 + 1	PD[];
0.959967725	0.150400971	-0.236308092	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
0.158998419	-0.872307409	0.462384351	0_1	 + 1	PD[];
0.954751632	0.297203468	0.0109278988	0_1	 + 1	PD[];
-0.702306619	0.0656843601	-0.708837765	0_1	 + 1	PD[];
-0.28582113	0.767392821	-0.573946462	0_1	 + 1	PD[];
-0.515675261	0.758720034	-0.398023787	0_1	 + 1	PD[];
-0.965575587	0.259539308	-0.0174107268	0_1	 + 1	PD[];
-0.665323919	0.595370013	0.450420504	0_1	 + 1	PD[];
-0.368220468	-0.0521398545	-0.928275349	0_1	 + 1	PD[];
-0.456701582	-0.797025914	0.395187751	0_1	 + 1	PD[];
0.515058838	0.085924736	-0.852837225	0_1	 + 1	PD[];
