#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.0387666529	-0.932330661	-0.359522858	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.781918153	0.399322222	0.478691723	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.290647172	0.946103118	0.14287446	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,7,2,6],X[4,8,5,7],X[5,3,6,2],X[0,4,1,3]];
-0.619787873	0.211441671	-0.755748246	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[0,4,1,3],X[9,5,10,4],X[1,8,2,7],X[5,9,6,8],X[6,3,7,2]];
-0.589156638	0.429197308	-0.684605089	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[0,9,1,8],X[7,2,8,1],X[4,2,5,3],X[11,4,12,3],X[10,6,11,5],X[6,10,7,9]];
-0.289160424	0.673818497	-0.679966824	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[10,6,11,5],X[0,9,1,8],X[7,2,8,1],X[4,2,5,3],X[11,4,12,3],X[6,10,7,9]];
0.372730777	-0.898565872	-0.23162716	5_11s|5_11m	 - A^(-12) - A^(-10) + 2*A^(-8) + 2*A^(-6) - A^(-4) - 2*A^(-2) + 1 + 2*A^(2) - A^(6)	PD[X[0,2,1,3],X[1,4,2,3],X[4,15,5,14],X[15,6,16,5],X[10,14,11,13],X[11,7,12,8],X[9,17,10,18],X[8,12,9,13],X[6,17,7,16]];
0.710381215	-0.215784896	-0.669921942	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[0,7,1,6],X[7,2,8,1],X[2,9,3,8],X[3,5,4,6],X[4,10,5,9]];
-0.0661124345	-0.0708487639	-0.995293725	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,7,2,6],X[4,8,5,7],X[5,3,6,2],X[0,4,1,3]];
-0.410376159	0.0653994133	0.909568208	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
