#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.583902727	0.40992709	0.700726328	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
0.461564097	-0.650768732	-0.602875312	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
0.88894969	0.0701313391	-0.452603628	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
0.00996637828	-0.988386946	-0.151630854	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[11,0,12,1],X[1,10,2,11],X[2,8,3,7],X[6,4,7,3],X[9,5,10,4],X[5,9,6,8]];
0.572747922	0.212823263	0.791622433	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,7,1,8],X[4,2,5,1],X[6,4,7,3],X[2,6,3,5]];
0.482806384	0.0385369778	0.87487879	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,7,1,8],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
-0.0840125064	0.00593384763	-0.996447032	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
0.48989543	-0.856286226	0.16363486	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[1,7,2,6],X[5,3,6,2],X[8,4,9,3],X[4,8,5,7]];
-0.50411523	-0.40969977	-0.760272276	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6]];
0.0453214765	-0.648683351	0.759707755	2_1s*3_1m|2_1m*3_1m	 + A^(-26) - 2*A^(-22) - A^(-20) + A^(-18) + A^(-16) - A^(-14) + A^(-10) + A^(-8)	PD[X[2,1,3,0],X[1,4,2,3],X[13,4,14,5],X[5,12,6,13],X[9,7,10,6],X[7,11,8,10],X[11,9,12,8]];
0.206961907	-0.966997575	-0.148601678	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[11,0,12,1],X[1,10,2,11],X[2,8,3,7],X[6,4,7,3],X[9,5,10,4],X[5,9,6,8]];
0.921924425	-0.372364367	-0.106771404	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,7,1,8],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6]];
-0.773463327	-0.196588735	-0.602583895	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,2,1,3],X[1,4,2,3],X[11,4,12,5],X[5,9,6,8],X[9,7,10,6],X[7,11,8,10]];
0.249282679	0.344188419	-0.905203004	UNKNOWN	 - A^(-4) - A^(-2) + 1 + 2*A^(2) + 2*A^(4) - A^(8) - A^(10)	PD[X[0,9,1,10],X[1,11,2,12],X[2,18,3,19],X[17,3,18,4],X[4,8,5,7],X[12,6,13,5],X[6,14,7,13],X[8,11,9,10],X[16,15,17,14],X[19,15,20,16]];
0.118593386	0.992942687	0.000654892065	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,2,1,3],X[1,4,2,3],X[4,13,5,14],X[10,6,11,5],X[6,10,7,9],X[7,13,8,12],X[11,9,12,8]];
0.5602642	-0.616674427	-0.553006941	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
0.445106158	0.893478632	-0.0598033639	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[6,2,7,1],X[3,9,4,8],X[7,5,8,4],X[2,6,3,5]];
-0.489042645	0.081758515	-0.868419735	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[1,5,2,4],X[3,7,4,6],X[5,3,6,2]];
-0.575199243	0.77474761	-0.262510899	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[6,2,7,1],X[2,6,3,5],X[3,9,4,8],X[7,5,8,4]];
0.718389611	-0.683905533	0.127238314	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,7,1,8],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6]];
-0.269392563	-0.675360703	-0.686524266	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
-0.328534653	-0.530158936	-0.781662641	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6]];
-0.78766297	0.612710419	0.0645986702	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
0.823163606	-0.121231031	-0.554711381	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
-0.0708889394	0.620678843	-0.78085372	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,5,1,4],X[1,13,2,14],X[12,2,13,3],X[5,4,6,3],X[6,10,7,9],X[10,8,11,7],X[8,12,9,11]];
-0.702467446	0.619334762	0.350662144	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
-0.685278439	-0.69690607	-0.211460141	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,7,2,6],X[5,3,6,2],X[8,4,9,3],X[4,8,5,7]];
-0.51732765	0.681080608	-0.518171119	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6]];
-0.19560986	-0.916586099	0.34872153	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[12,0,13,1],X[1,13,2,14],X[2,11,3,12],X[3,9,4,8],X[7,5,8,4],X[10,6,11,5],X[6,10,7,9]];
0.34096725	-0.017300955	0.93991596	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,7,1,8],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
-0.423239986	-0.31823114	0.848290549	UNKNOWN	 - A^(-10) + A^(-8) + 2*A^(-6) - A^(-4) - 3*A^(-2) + 3*A^(2) + 2*A^(4) - A^(6) - A^(8)	PD[X[6,11,7,10],X[5,0,6,1],X[2,9,3,8],X[12,1,13,2],X[7,4,8,3],X[11,5,12,4],X[9,13,10,14]];
0.187473615	0.965246271	-0.18208042	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,2,1,3],X[1,4,2,3],X[4,6,5,7],X[5,8,6,7],X[8,15,9,16],X[13,11,14,10],X[11,15,12,14],X[9,13,10,12]];
-0.344525486	-0.42820151	0.835431419	UNKNOWN	 - A^(-12) + 2*A^(-8) + A^(-6) - 2*A^(-4) - 4*A^(-2) + 3*A^(2) + 4*A^(4) + 2*A^(6) - A^(8) - 2*A^(10) - A^(12)	PD[X[13,0,14,1],X[17,11,18,10],X[19,2,20,3],X[15,1,16,2],X[3,6,4,5],X[6,20,7,21],X[9,17,10,16],X[18,8,19,7],X[11,9,12,8],X[14,13,15,12],X[4,21,5,22]];
-0.00284906787	-0.63623	-0.77149418	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
0.669866193	0.667462767	-0.325227209	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
0.545736496	-0.448196998	0.708019158	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[2,0,3,1],X[3,2,4,1],X[4,11,5,12],X[8,6,9,5],X[6,10,7,9],X[10,8,11,7]];
-0.16015186	-0.89616167	-0.41381837	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
-0.632328431	0.748960754	-0.198036727	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[6,2,7,1],X[2,6,3,5],X[3,9,4,8],X[7,5,8,4]];
-0.917593178	0.326986486	-0.226058836	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
0.0724485531	-0.63912679	0.765681496	2_1s*3_1m|2_1m*3_1m	 + A^(-26) - 2*A^(-22) - A^(-20) + A^(-18) + A^(-16) - A^(-14) + A^(-10) + A^(-8)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4],X[15,6,16,7],X[7,14,8,15],X[11,9,12,8],X[9,13,10,12],X[13,11,14,10]];
0.1149496	0.624011433	-0.772914174	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
-0.402169889	-0.0894737931	-0.911182649	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6]];
-0.421782818	0.454245129	0.784704159	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
-0.51547064	-0.834317718	0.195458348	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
0.902729268	-0.122536063	0.412389114	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[2,0,3,1],X[3,2,4,1],X[4,11,5,12],X[5,9,6,8],X[9,7,10,6],X[7,11,8,10]];
0.0470905059	-0.201129477	-0.978432122	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,12,1,13],X[2,9,3,10],X[14,11,15,10],X[3,7,4,6],X[7,5,8,4],X[5,9,6,8],X[15,1,16,2],X[11,14,12,13]];
0.514048125	0.828726575	0.221284409	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[6,2,7,1],X[2,6,3,5],X[3,9,4,8],X[7,5,8,4]];
-0.771517319	-0.466087295	-0.433040021	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,7,2,6],X[5,3,6,2],X[8,4,9,3],X[4,8,5,7]];
-0.0645815631	-0.182536916	0.981075683	5_11s|5_11m	 - A^(-12) - A^(-10) + 2*A^(-8) + 2*A^(-6) - A^(-4) - 2*A^(-2) + 1 + 2*A^(2) - A^(6)	PD[X[7,4,8,3],X[4,9,5,8],X[9,7,10,6],X[11,1,12,2],X[2,10,3,11],X[5,0,6,1]];
-0.391860629	-0.847161711	0.358834619	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[10,0,11,1],X[1,11,2,12],X[2,9,3,10],X[6,4,7,3],X[4,8,5,7],X[8,6,9,5]];
-0.94085552	-0.336552288	0.0390313659	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
-0.234194119	-0.743046524	0.626925018	UNKNOWN	 + A^(-14) - A^(-12) - 3*A^(-10) + 3*A^(-6) + 2*A^(-4) - 2*A^(-2) + 2*A^(2) + A^(4) - A^(6) - A^(8)	PD[X[11,0,12,1],X[1,12,2,13],X[2,5,3,4],X[3,13,4,14],X[8,6,9,5],X[10,8,11,7],X[6,10,7,9]];
-0.261946011	0.940754826	0.215324508	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
-0.972707788	0.179452362	0.147093199	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
-0.87486545	0.414840787	0.250035129	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
0.671956781	-0.735310988	-0.0882713669	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
-0.44155986	0.632346094	-0.636524396	UNKNOWN	 + A^(-32) + A^(-30) - 2*A^(-28) - 2*A^(-26) + A^(-22) - A^(-18) + A^(-16) + A^(-14) + A^(-12)	PD[X[0,6,1,5],X[1,8,2,7],X[2,10,3,9],X[8,4,9,3],X[6,5,7,4],X[17,10,18,11],X[11,15,12,14],X[15,13,16,12],X[13,17,14,16]];
-0.871642612	0.235613254	-0.429797104	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,2,1,3],X[1,4,2,3],X[11,4,12,5],X[8,6,9,5],X[6,10,7,9],X[10,8,11,7]];
-0.236078511	-0.248073183	0.939535328	6_9|6_9ms	 - A^(-10) + A^(-6) - A^(-2) + 1 + 2*A^(2) + A^(4) - A^(6) - A^(8)	PD[X[10,0,11,1],X[5,10,6,9],X[13,2,14,3],X[3,12,4,13],X[11,8,12,7],X[6,1,7,2],X[8,5,9,4]];
0.22868126	-0.3027995	0.925212054	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,7,1,8],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
0.458942843	0.873775771	-0.160895521	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[6,2,7,1],X[3,9,4,8],X[7,5,8,4],X[2,6,3,5]];
0.258533832	0.908843513	0.327358713	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[6,2,7,1],X[3,9,4,8],X[7,5,8,4],X[2,6,3,5]];
0.790784838	0.549345265	0.26996133	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[6,2,7,1],X[2,6,3,5],X[3,9,4,8],X[7,5,8,4]];
0.638598599	-0.626285474	-0.447167009	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
-0.24910543	-0.734142357	-0.631649812	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
-0.0812294948	0.913438641	0.398787687	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
-0.955044333	-0.00106566387	0.296461105	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
0.880151027	0.461130797	0.112661249	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,7,1,8],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6]];
-0.750744189	0.654398431	0.0902543999	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
0.499094316	-0.349820064	0.792799335	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[7,3,8,2],X[8,6,9,5],X[3,7,4,6],X[4,2,5,1]];
0.424004855	-0.519018723	-0.742185589	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
0.945533976	0.311100467	0.0958227515	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
0.905575534	0.403293985	0.13147971	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,7,1,8],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6]];
-0.866603636	-0.270394345	-0.419386501	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,7,2,6],X[5,3,6,2],X[8,4,9,3],X[4,8,5,7]];
0.888422528	-0.0670100541	-0.454109088	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
-0.569656374	-0.128226109	-0.811818748	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[1,5,2,4],X[3,7,4,6],X[5,3,6,2]];
-0.581034474	-0.763868445	-0.280898449	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,7,2,6],X[5,3,6,2],X[8,4,9,3],X[4,8,5,7]];
0.158070726	0.20554365	0.965797833	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
-0.100101368	-0.601873808	0.792292645	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
-0.370314645	0.304555312	0.877560896	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
-0.387551487	-0.48292093	-0.785233227	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6]];
0.0199922496	0.565493451	0.824510441	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
-0.776214832	0.566133186	-0.277459457	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
0.819592328	0.0592595547	0.569874303	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,7,1,8],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
0.65565538	0.744036172	-0.128554256	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[2,1,3,0],X[13,1,14,2],X[12,3,13,4],X[4,11,5,12],X[5,9,6,8],X[9,7,10,6],X[7,11,8,10]];
0.0255261128	-0.0122979631	0.999598508	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,10,8,9],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3],X[0,8,1,9]];
0.0967390251	-0.969063208	-0.227064001	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[11,0,12,1],X[1,10,2,11],X[2,8,3,7],X[6,4,7,3],X[9,5,10,4],X[5,9,6,8]];
-0.0752165408	-0.969150596	0.234711724	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
-0.0949928292	-0.66125813	-0.744119646	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
0.460471797	-0.183288609	-0.868545341	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[10,1,11,2],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7],X[11,9,12,8]];
-0.988958411	0.127038052	0.0763059258	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
0.751814017	-0.544044712	-0.372546689	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
-0.841803519	-0.427376999	0.329720693	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,4,2,3],X[2,17,3,18],X[0,6,1,5],X[4,16,5,17],X[6,15,7,16],X[14,7,15,8],X[11,9,12,8],X[9,13,10,12],X[13,11,14,10]];
-0.752041063	0.477138212	-0.454723396	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
-0.797766917	0.135123924	-0.587630386	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
0.217730587	-0.975165288	0.0405715648	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[11,0,12,1],X[1,10,2,11],X[2,8,3,7],X[6,4,7,3],X[9,5,10,4],X[5,9,6,8]];
0.358007638	0.887822079	-0.289140947	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[14,0,15,1],X[1,13,2,14],X[11,2,12,3],X[8,4,9,3],X[4,8,5,7],X[5,11,6,10],X[9,7,10,6],X[15,12,16,13]];
-0.876227194	-0.358850912	0.321639437	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,12,6,13],X[14,3,15,4],X[2,15,3,16],X[1,13,2,14],X[0,5,1,4],X[9,7,10,6],X[7,11,8,10],X[11,9,12,8]];
0.938398418	0.294218813	0.181228309	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[2,6,3,5],X[6,4,7,3],X[4,8,5,7]];
-0.144676766	0.086829157	0.985661875	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[10,0,11,1],X[1,11,2,12],X[9,2,10,3],X[6,4,7,3],X[4,8,5,7],X[8,6,9,5]];
-0.0838364065	-0.964115935	0.251896645	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[1,8,2,9],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4]];
0.261073067	0.634542817	-0.727458773	UNKNOWN	 + A^(-14) - A^(-12) - 3*A^(-10) + 3*A^(-6) + 2*A^(-4) - 2*A^(-2) + 2*A^(2) + A^(4) - A^(6) - A^(8)	PD[X[0,11,1,12],X[12,1,13,2],X[4,3,5,2],X[13,3,14,4],X[9,7,10,6],X[7,11,8,10],X[5,9,6,8]];
0.213078896	0.950220347	0.227329445	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,11,1,12],X[10,1,11,2],X[7,3,8,2],X[3,7,4,6],X[4,10,5,9],X[8,6,9,5]];
0.6693732	0.591981107	0.448885161	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,9,1,10],X[6,2,7,1],X[2,6,3,5],X[3,9,4,8],X[7,5,8,4]];
