#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.490615848	0.647512968	-0.583114951	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.430140724	0.898437445	-0.0882559652	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.889012611	-0.224486916	0.399076687	4_8s|4_8m	 - A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)	PD[X[0,10,1,9],X[1,4,2,3],X[2,13,3,14],X[4,7,5,8],X[11,6,12,5],X[6,11,7,10],X[12,9,13,8]];
-0.67071856	0.730312559	0.129538331	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.694400638	0.673971257	0.252131906	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.584815493	0.313984742	-0.747933434	0_1	 + 1	PD[];
0.786422956	-0.44329688	-0.430147429	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[4,1,5,0],X[1,6,2,5],X[6,3,7,2],X[3,8,4,7]];
-0.69328314	0.111401061	0.712003014	UNKNOWN	 + A^(-20) + A^(-18) - 3*A^(-16) - 3*A^(-14) + A^(-12) + 4*A^(-10) + 2*A^(-8) - 2*A^(-6) - 2*A^(-4) + 2 + A^(2) - A^(6)	PD[X[0,12,1,13],X[1,19,2,18],X[7,17,8,16],X[10,4,11,5],X[13,11,14,12],X[15,21,16,20],X[5,9,6,10],X[17,9,18,8],X[19,3,20,2],X[14,4,15,3],X[6,22,7,21]];
0.0454764433	-0.65739636	-0.752171469	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.54352705	-0.750698058	0.375540641	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.434157569	0.0116925353	0.900761061	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.446996877	-0.755549511	0.478893233	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.421306754	-0.446033519	-0.78965481	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.095924182	-0.988634356	-0.11576123	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.893337934	-0.0268248139	0.448584179	0_1	 + 1	PD[];
