#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.508480174	0.315411084	-0.80122641	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.259745978	-0.949826779	0.174244415	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0134975613	-0.181092515	-0.983373437	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.364723899	0.288995233	-0.88513176	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.507285252	-0.256565975	0.822700173	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0668073259	0.785449138	-0.61531003	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.190808818	-0.856684181	0.479253805	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0761333065	-0.996934812	0.0180194471	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
-0.334868765	0.511880147	0.791101527	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[0,3,1,2],X[3,2,4,1],X[5,7,6,8],X[6,4,7,5]];
0.420054635	-0.330177705	0.845302778	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.398814601	0.67790402	0.617570282	2_1*4_3s|2_1ms*4_3s|2_1*4_3m|2_1ms*4_3m	 - A^(-12) - 2*A^(-10) + 3*A^(-6) + 3*A^(-4) - 1 - A^(2)	PD[X[0,6,1,5],X[1,8,2,7],X[2,10,3,9],X[8,4,9,3],X[6,5,7,4],X[12,10,13,11],X[11,13,12,14]];
0.447106429	0.364619663	-0.816791493	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.507773123	-0.609396771	0.608935161	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.249042571	-0.155899418	-0.955862526	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.324836892	-0.419374417	-0.847706371	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.552898673	0.727592028	-0.406094691	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.470912559	-0.882170024	0.00417245412	5_20|5_20ms	 + A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)	PD[X[8,1,9,0],X[1,6,2,5],X[6,3,7,2],X[3,8,4,7],X[4,9,5,10]];
0.187913214	-0.850406333	0.491424148	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0402938684	0.290067481	-0.95615755	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.505836633	-0.682916373	0.52702422	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.574442338	0.0422781363	0.817452481	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0738582402	-0.980595749	-0.18159553	6_66|6_66ms	 - 2*A^(-6) - A^(-4) + 3*A^(-2) + 4 - A^(2) - 3*A^(4) + 2*A^(8) - A^(12)	PD[X[10,3,11,2],X[12,10,13,9],X[21,16,22,17],X[3,12,4,11],X[6,15,7,16],X[8,4,9,5],X[13,2,14,1],X[5,20,6,21],X[19,0,20,1],X[14,18,15,19],X[7,18,8,17]];
-0.219732145	0.791496204	0.570308288	UNKNOWN	 - A^(-14) - 3*A^(-12) - 2*A^(-10) + 4*A^(-8) + 7*A^(-6) + 2*A^(-4) - 4*A^(-2) - 3 + A^(4)	PD[X[0,7,1,6],X[2,11,3,10],X[11,4,12,3],X[9,5,10,4],X[5,7,6,8],X[1,9,2,8],X[14,12,15,13],X[13,15,14,16]];
0.96229428	0.257074946	0.088894269	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[1,7,2,6],X[5,3,6,2],X[4,8,5,7]];
0.452680936	0.101645078	0.885860174	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.667158741	-0.494496911	0.557110419	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.186351513	0.551264581	-0.81325302	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.218084317	0.510539302	-0.831738451	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0306554658	0.618788146	-0.784959536	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.982320543	-0.118595772	0.144849557	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
