#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.481508471	0.542189531	0.688607366	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[0,8,1,9],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6],X[9,7,10,8]];
0.672740653	-0.715262983	-0.189258762	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[6,2,7,1],X[2,6,3,5],X[3,9,4,8],X[7,5,8,4]];
0.0388934259	-0.577241654	0.815646599	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5],X[6,9,7,8],X[7,9,8,10]];
-0.719011636	-0.474022792	-0.50825649	UNKNOWN	 + A^(-32) + A^(-30) - 2*A^(-28) - 2*A^(-26) + A^(-22) - A^(-18) + A^(-16) + A^(-14) + A^(-12)	PD[X[5,1,6,0],X[3,2,4,1],X[2,16,3,15],X[4,15,5,14],X[7,13,8,12],X[10,14,11,13],X[11,9,12,8],X[6,10,7,9]];
0.241665884	0.955046359	-0.171709212	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.130364834	0.352573532	0.926659007	2_1s*3_1m|2_1m*3_1m	 + A^(-26) - 2*A^(-22) - A^(-20) + A^(-18) + A^(-16) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,3,1,2],X[3,2,4,1],X[4,8,5,7],X[8,6,9,5],X[6,10,7,9]];
0.923763341	-0.377788367	-0.0627474342	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,1,8,0],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
-0.105701914	0.988085608	-0.111865705	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.67189885	-0.701383662	0.237934641	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.542031276	-0.652805322	0.529194962	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.483858323	-0.875038564	0.0137344212	3_1m*3_2s|3_1m*3_2m	 - A^(-18) - A^(-16) + 2*A^(-14) + 2*A^(-12) - A^(-10) - 2*A^(-8) + A^(-6) + 2*A^(-4) - A^(-2) - 1 + A^(4)	PD[X[10,0,11,1],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6],X[7,9,8,10],X[8,12,9,11]];
0.668970494	-0.687946421	-0.281439514	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[3,1,4,2],X[0,2,1,3],X[4,8,5,7],X[8,6,9,5],X[6,10,7,9]];
0.0831805411	0.873558086	0.479559452	4_7|4_7ms	 - A^(-4) + 2 + A^(2) - A^(6)	PD[X[2,8,3,7],X[8,2,9,1],X[3,1,4,0],X[4,6,5,7],X[9,5,10,6]];
-0.815130914	0.573396256	-0.0823305952	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,7,2,6],X[4,8,5,7],X[5,3,6,2],X[0,4,1,3]];
0.539511094	-0.810341394	0.228636402	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5],X[6,8,7,9],X[7,10,8,9]];
-0.616480125	-0.733839623	0.285362337	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.5414347	-0.417391373	-0.729817037	2_1s*3_1m|2_1m*3_1m	 + A^(-26) - 2*A^(-22) - A^(-20) + A^(-18) + A^(-16) - A^(-14) + A^(-10) + A^(-8)	PD[X[2,1,3,0],X[1,12,2,11],X[6,10,7,9],X[3,11,4,10],X[8,6,9,5],X[4,8,5,7]];
-0.570212625	0.327355847	0.753455846	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.17398309	0.977889361	0.116027073	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3],X[6,4,7,5],X[7,6,8,5]];
0.765067467	-0.267575405	-0.585726193	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[0,5,1,6],X[9,1,10,2],X[16,7,17,8],X[2,8,3,9],X[6,4,7,5],X[17,4,18,3],X[13,11,14,10],X[11,15,12,14],X[15,13,16,12]];
-0.261924141	-0.818482873	0.511352648	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.96424742	0.219449508	-0.148555804	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[6,4,7,3],X[7,1,8,0],X[2,6,3,5],X[4,2,5,1]];
0.247013975	0.793575012	0.556078048	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.511607908	-0.825565731	-0.238114621	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[0,2,1,3],X[9,1,10,2],X[5,9,6,8],X[3,7,4,6],X[7,5,8,4]];
-0.081534997	-0.0159199466	0.996543325	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.755363183	-0.523839111	-0.393724584	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[10,1,11,0],X[3,1,4,2],X[11,3,12,2],X[7,5,8,4],X[5,9,6,8],X[9,7,10,6]];
0.827836902	0.560018291	-0.0326431943	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[6,2,7,1],X[7,5,8,4],X[2,6,3,5],X[3,1,4,0]];
-0.993128628	0.101306302	0.058588061	2_1s*3_1m|2_1m*3_1m	 + A^(-26) - 2*A^(-22) - A^(-20) + A^(-18) + A^(-16) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,11,1,10],X[3,2,4,1],X[2,12,3,11],X[4,8,5,7],X[8,6,9,5],X[6,10,7,9]];
-0.587650174	-0.448696161	-0.673304558	UNKNOWN	 + A^(-28) + A^(-26) - 2*A^(-24) - 3*A^(-22) + 3*A^(-18) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8) - A^(-6)	PD[X[4,1,5,0],X[6,2,7,1],X[2,14,3,13],X[5,3,6,4],X[7,11,8,10],X[11,9,12,8],X[9,13,10,12]];
-0.5066353	-0.617669323	-0.601502519	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,10,1,9],X[4,8,5,7],X[1,9,2,8],X[6,4,7,3],X[2,6,3,5]];
