#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.0436340705	-0.652232979	-0.756761659	UNKNOWN	 + A^(-32) + A^(-30) - 2*A^(-28) - 2*A^(-26) + A^(-22) - A^(-18) + A^(-16) + A^(-14) + A^(-12)	PD[X[0,6,1,5],X[1,4,2,3],X[13,3,14,2],X[12,5,13,4],X[6,10,7,9],X[10,8,11,7],X[8,12,9,11]];
-0.905184824	0.36262141	0.221689305	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.358199683	-0.68348352	0.636037157	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,2,1,3],X[1,4,2,3],X[7,5,8,4],X[5,9,6,8],X[9,7,10,6]];
-0.995344976	-0.0684477861	0.0678474638	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.536970332	-0.826414387	-0.169417012	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.199797525	-0.318307481	0.926693745	2_1s*3_1m|2_1m*3_1m	 + A^(-26) - 2*A^(-22) - A^(-20) + A^(-18) + A^(-16) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2],X[6,10,7,9],X[10,8,11,7],X[8,12,9,11]];
-0.494941104	-0.415635594	-0.763072969	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[6,2,7,1],X[2,6,3,5],X[7,5,8,4]];
0.51847728	-0.0781303369	0.85151451	3_1m*3_2|3_1m*3_2ms	 - A^(-24) + 2*A^(-20) + A^(-18) - 2*A^(-16) - 2*A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)	PD[X[0,7,1,6],X[1,5,2,4],X[2,11,3,12],X[12,3,13,4],X[7,6,8,5],X[8,10,9,11],X[9,22,10,21],X[13,19,14,18],X[17,15,18,14],X[20,16,21,15],X[16,20,17,19]];
0.441044065	-0.88375865	0.156367458	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.356117161	0.932787538	0.0555695551	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
