#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.0647988087	-0.618446788	0.783150487	UNKNOWN	 + A^(-38) + A^(-36) - 2*A^(-34) - 2*A^(-32) + A^(-30) + 2*A^(-28) - A^(-26) - 3*A^(-24) - A^(-22) + 2*A^(-20) + 2*A^(-18) + A^(-16)	PD[X[0,5,1,4],X[1,7,2,6],X[9,16,10,15],X[5,4,6,3],X[7,3,8,2],X[8,13,9,12],X[16,11,17,10],X[14,18,15,17],X[13,12,14,11]];
-0.0166093116	0.0494741124	-0.998637293	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
0.563248398	0.0671749758	-0.823552527	2_1s*3_1m|2_1m*3_1m	 + A^(-26) - 2*A^(-22) - A^(-20) + A^(-18) + A^(-16) - A^(-14) + A^(-10) + A^(-8)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4],X[11,9,12,8],X[9,7,10,6],X[7,11,8,10]];
0.972660746	-0.223209297	0.0640990166	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.252044224	-0.776520993	-0.577484941	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[6,2,7,1],X[7,5,8,4],X[2,6,3,5],X[3,1,4,0]];
-0.694088063	0.685231872	-0.220678597	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.943521145	-0.116731704	-0.310067023	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.785724557	0.324067744	0.526893744	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.587737461	-0.328785729	-0.739232454	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.0483369879	0.885192576	-0.462706861	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.069809399	-0.0528548138	0.996159132	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,3,1,2],X[1,3,2,4],X[4,11,5,12],X[5,9,6,8],X[9,7,10,6],X[7,11,8,10]];
-0.258448057	-0.107050196	0.960075444	2_1s*3_1m|2_1m*3_1m	 + A^(-26) - 2*A^(-22) - A^(-20) + A^(-18) + A^(-16) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,3,1,2],X[3,2,4,1],X[4,11,5,12],X[5,9,6,8],X[9,7,10,6],X[7,11,8,10]];
